0.9400124,0.3442133,0.1492795,-0.815407,0.571705|-0.004756259
-0.2998247,-0.2895504,0.3615122,-0.1155316,-0.9008675|0.980806
-0.4733774,0.7071089,-0.5280674,0.346672,-0.3815331|0.8931547
0.2903244,-0.1733681,-0.9289415,0.1327139,-0.8378286|0.169717
0.3592735,-0.7543813,0.1701826,0.7372484,0.3948444|0.3032832
0.7002198,-0.8609489,-0.4205652,-0.8309624,0.8497821|-0.8085032
0.9754319,0.05774667,0.5053809,-0.05915678,-0.5295393|-0.2864455
-0.06850352,-0.1245112,0.7183669,0.153545,0.1469347|0.811758
-0.6250039,0.85201,0.5915675,0.8757799,-0.8900445|0.8364705
-0.402753,0.7519233,-0.7101152,0.01578724,0.9544253|0.3763487
-0.106456,0.7997879,-0.842725,0.2147759,-0.187272|0.1515689
0.2877941,0.7095699,-0.2334708,-0.8701544,-0.4700537|0.3939112
0.3202084,0.1949224,-0.07579005,0.3002948,0.1356205|0.4725566
0.9927843,-0.6084496,-0.3404204,-0.2408684,-0.7175974|-0.4896866
0.5302188,0.01624816,0.9847729,0.5720916,0.3144932|0.3508478
0.07209229,-0.2464432,-0.1751086,-0.6649542,-0.4525599|-0.8924459
0.4994211,-0.3093086,-0.9885163,-0.08975184,-0.9710857|-0.3024433
0.247703,-0.981019,-0.1045471,-0.7610054,-0.1268513|-0.3168643
0.865869,-0.1813768,0.9991577,-0.2772695,0.125688|-0.6411908
-0.5249133,0.6743721,0.3755684,0.584708,0.8926252|-0.7197275
0.9394479,0.203307,0.6074841,0.4702141,-0.5743384|-0.8740529
-0.3478009,-0.6445286,0.241583,0.3407042,-0.01738477|0.494967
0.3742738,-0.05753146,-0.3038713,-0.443087,0.4150787|0.7906812
-0.6525545,0.8540906,-0.7615473,0.3139736,0.432669|0.999382
-0.6271653,0.3040295,0.4901142,0.5706964,0.2139234|-0.6188374
-0.3567616,0.3392803,-0.3869578,-0.4725784,0.8065164|0.812305
0.9086469,-0.7199619,0.7863896,0.8791058,-0.3812368|0.3488427
0.6007631,-0.3606347,-0.8023074,-0.9498289,0.2555592|0.2479534
0.5584419,0.8940015,0.8535874,0.1041347,-0.3201697|0.8642932
0.8976728,-0.8526809,0.447385,-0.09129918,0.1586027|0.4691814
-0.04141526,0.3697127,-0.2566978,-0.5555499,-0.6544237|-0.0192704
0.9686761,0.4052867,-0.01848304,0.9721642,0.8597624|-0.07747312
-0.1092442,-0.2575585,0.8441124,0.7578704,-0.6612493|-0.1615072
-0.7100886,0.1165132,0.5726013,0.8615813,-0.4207777|0.6777491
0.4754603,-0.8960064,-0.991035,-0.7767265,-0.8038393|0.245585
-0.4579929,-0.7293869,-0.09183347,0.5314474,0.9021813|-0.3164539
-0.2068522,0.9293904,-0.1958581,0.5035472,0.4243996|-0.6075374
0.5626193,-0.1568729,-0.9438686,-0.03628266,-0.5126764|-0.04508626
-0.2344848,0.8256219,-0.3855015,-0.8598282,0.6849979|-0.02842698
0.06660625,0.1558902,0.5148468,0.7343853,0.505357|-0.6087353
-0.3053595,-0.2138967,-0.1558183,-0.7315531,-0.7311499|0.3282393
-0.3199479,0.7222106,0.8659978,-0.3468975,-0.2983468|-0.7755026
0.7535861,-0.385525,-0.9915597,0.3462476,0.07290502|0.6109782
-0.2576202,-0.118377,-0.6687589,-0.654438,0.3536406|0.999232
0.8067734,-0.09605803,-0.4915911,-0.9987307,0.08477698|0.5133214
0.01670222,0.6854937,0.4678385,-0.7837358,0.6353776|-0.8441101
-0.5426073,-0.9683282,-0.7385991,-0.5809309,-0.5021757|0.236853
0.3056295,-0.9458585,-0.06997311,-0.6266122,-0.3878473|0.392401
-0.8455033,-0.2255087,0.6159244,0.9858751,-0.9090427|-0.6342843
-0.345976,0.9278817,-0.1037756,0.9312482,-0.7119384|-0.5134774
0.4523358,-0.2457331,0.337692,0.3019402,-0.3068872|-0.3463931
-0.08456907,0.6480852,0.7706392,-0.9407346,0.2203029|-0.07819363
-0.9462816,0.6405271,0.8693016,0.1681517,-0.2530466|-0.172222
-0.02866022,-0.7303665,0.8937323,0.8933074,0.09205754|-0.9753842
0.1576302,-0.4048958,-0.05458105,-0.4749168,-0.4916182|0.5354356
-0.2571484,0.1850084,0.07515752,-0.4368564,0.6490588|-0.5275914
-0.1202179,0.7725984,-0.3534759,-0.2485679,-0.8591099|0.7472025
0.5106425,0.4310772,0.9726489,-0.06409299,0.2244073|-0.3047234
-0.9164755,-0.3502495,0.7838492,0.1372017,-0.9535257|0.3433211
-0.7607936,-0.01982018,0.6884487,-0.7542284,-0.483261|0.3480276
0.4000726,0.7598231,-0.5102694,-0.7003503,-0.8652034|0.4733313
0.8091693,-0.7088511,0.2321118,-0.9828055,-0.7100306|-0.3693284
-0.088164,0.175552,-0.4192206,-0.7614827,-0.7368855|0.1939726
-0.9957627,-0.6650212,-0.133469,-0.5194232,0.218129|-0.7563764
0.2907709,0.6248425,0.004420638,0.7724547,0.329262|0.9700732
-0.4430673,0.8889039,0.6194618,-0.6868243,-0.937572|0.04739119
-0.1339833,0.9863915,-0.3635753,-0.7042875,0.6679966|0.7941015
0.8823749,-0.6270987,-0.8069527,-0.1397835,0.8258627|-0.9625667
0.5612596,-0.8767213,0.05665004,-0.9719601,0.9236666|-0.9231061
0.7220306,0.9757364,-0.236971,-0.3222605,0.6321807|0.2071408
-0.2399193,0.4741851,0.09903514,-0.1083158,-0.6748819|-0.8264871
0.5562797,-0.8052297,0.6736493,0.1824492,0.3754357|0.7384887
0.301426,-0.1608035,-0.2996527,-0.5939951,-0.9794107|0.7836703
-0.7004588,0.5461976,-0.9241474,0.2550285,0.2913703|0.5331664
-0.6072559,0.2145362,0.9609742,0.3894829,-0.5656342|0.8099189
-0.1177933,-0.2594259,-0.4430479,-0.237152,-0.6164941|-0.4034183
-0.9010878,0.45527,-0.9454463,-0.9397326,0.4381091|0.0310736
-0.58457,-0.4315847,0.2064942,-0.1543146,-0.4697663|-0.2902808
0.4010553,-0.620387,0.1281613,0.09177482,-0.2842722|-0.8344733
-0.1298697,0.1850131,0.7539599,-0.9830189,-0.7948959|0.5867578
-0.2086327,-0.6977019,0.2809417,0.1781944,0.4392116|-0.5432292
0.2855259,-0.3433588,-0.3594888,0.1259848,-0.07286724|0.9279809
0.3486435,0.23561,-0.5760052,0.0690757,-0.8715807|0.6160571
-0.7173472,-0.8122264,-0.08764255,-0.1917583,0.05407633|0.2221725
-0.06499151,0.9655341,0.9027464,0.1385664,-0.1570811|0.8935554
-0.8608015,-0.09858965,-0.9574153,0.6854777,-0.9301819|-0.5647304
-0.2186533,-0.7166177,0.1758679,-0.1259109,-0.5330318|-0.2385826
0.7725288,-0.6462295,-0.9733186,-0.1315199,-0.5011218|-0.5060795
-0.4269432,0.1054777,0.4183411,0.9469147,-0.4939002|-0.5866429
-0.9827349,-0.1590742,0.417684,-0.4232141,-0.5988615|0.8438568
-0.1391701,-0.2267927,-0.0976218,-0.5705376,-0.9714229|-0.9503889
0.4110804,-0.8618076,0.0871383,-0.8681309,-0.3117953|0.4549508
-0.08311728,0.2269354,0.541404,-0.04967821,-0.6029142|0.2386668
-0.6583605,-0.3086257,-0.2741557,-0.9848573,0.7630613|0.7671532
0.7303706,-0.5805051,0.9968143,-0.3572985,-0.1135821|0.7822605
0.4303325,-0.05272062,-0.8980973,0.5576916,-0.1201454|-0.1925129
-0.4122079,0.1707308,-0.9586973,-0.4501361,-0.586588|-0.3698859
0.2951001,0.08885477,0.5515776,0.0535475,-0.6153998|-0.1734753
-0.8453563,-0.980865,-0.6927125,-0.5450802,0.8124015|-0.7114249
-0.7996125,0.03893026,0.006718516,-0.1391915,-0.3364696|0.04746874
