0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9
0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8
0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4
0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3
0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
0.5, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75
0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75
0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5
0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
1, 1, 1, 1, 1, 1, 1
