0.1,1,0,0,0.1
0.1,1,0,0,0.3
0.1,1,0,0,0.5
0.1,1,0,0,0.7
0.1,1,0,0,0.9
0.1,1,0,0,1.1
0.1,1,0,0,1.3
0.1,1,0,0,1.5
0.1,1,0,0,1.7
0.1,1,0,0,1.9
0.1,1,20,0,0.1
0.1,1,20,0,0.3
0.1,1,20,0,0.5
0.1,1,20,0,0.7
0.1,1,20,0,0.9
0.1,1,20,0,1.1
0.1,1,20,0,1.3
0.1,1,20,0,1.5
0.1,1,20,0,1.7
0.1,1,20,0,1.9
0.1,1,20,1,0.1
0.1,1,20,1,0.3
0.1,1,20,1,0.5
0.1,1,20,1,0.7
0.1,1,20,1,0.9
0.1,1,20,1,1.1
0.1,1,20,1,1.3
0.1,1,20,1,1.5
0.1,1,20,1,1.7
0.1,1,20,1,1.9
0.1,1,20,2,0.1
0.1,1,20,2,0.3
0.1,1,20,2,0.5
0.1,1,20,2,0.7
0.1,1,20,2,0.9
0.1,1,20,2,1.1
0.1,1,20,2,1.3
0.1,1,20,2,1.5
0.1,1,20,2,1.7
0.1,1,20,2,1.9
0.1,1,20,3,0.1
0.1,1,20,3,0.3
0.1,1,20,3,0.5
0.1,1,20,3,0.7
0.1,1,20,3,0.9
0.1,1,20,3,1.1
0.1,1,20,3,1.3
0.1,1,20,3,1.5
0.1,1,20,3,1.7
0.1,1,20,3,1.9
0.1,1,20,4,0.1
0.1,1,20,4,0.3
0.1,1,20,4,0.5
0.1,1,20,4,0.7
0.1,1,20,4,0.9
0.1,1,20,4,1.1
0.1,1,20,4,1.3
0.1,1,20,4,1.5
0.1,1,20,4,1.7
0.1,1,20,4,1.9
0.1,1,20,5,0.1
0.1,1,20,5,0.3
0.1,1,20,5,0.5
0.1,1,20,5,0.7
0.1,1,20,5,0.9
0.1,1,20,5,1.1
0.1,1,20,5,1.3
0.1,1,20,5,1.5
0.1,1,20,5,1.7
0.1,1,20,5,1.9
0.1,1,20,6,0.1
0.1,1,20,6,0.3
0.1,1,20,6,0.5
0.1,1,20,6,0.7
0.1,1,20,6,0.9
0.1,1,20,6,1.1
0.1,1,20,6,1.3
0.1,1,20,6,1.5
0.1,1,20,6,1.7
0.1,1,20,6,1.9
0.1,1,20,7,0.1
0.1,1,20,7,0.3
0.1,1,20,7,0.5
0.1,1,20,7,0.7
0.1,1,20,7,0.9
0.1,1,20,7,1.1
0.1,1,20,7,1.3
0.1,1,20,7,1.5
0.1,1,20,7,1.7
0.1,1,20,7,1.9
0.1,1,20,8,0.1
0.1,1,20,8,0.3
0.1,1,20,8,0.5
0.1,1,20,8,0.7
0.1,1,20,8,0.9
0.1,1,20,8,1.1
0.1,1,20,8,1.3
0.1,1,20,8,1.5
0.1,1,20,8,1.7
0.1,1,20,8,1.9
0.1,1,20,9,0.1
0.1,1,20,9,0.3
0.1,1,20,9,0.5
0.1,1,20,9,0.7
0.1,1,20,9,0.9
0.1,1,20,9,1.1
0.1,1,20,9,1.3
0.1,1,20,9,1.5
0.1,1,20,9,1.7
0.1,1,20,9,1.9
0.1,1,20,10,0.1
0.1,1,20,10,0.3
